_id,fecha,provincia,Tolueno,SO2,PM10,"PM2,5",O3 8h,NOX
1_2024-04-14,2024-04-14,1,0,6.666666666666667,13,11.666666666666666,62,0
20_2024-04-14,2024-04-14,20,2.088,3.3333333333333335,20,11,99,0
48_2024-04-14,2024-04-14,48,1.1342857142857141,6.916666666666667,22.666666666666668,12.666666666666666,70.66666666666667,40
1_2024-04-15,2024-04-15,1,0,5,8,9.333333333333334,59,0
20_2024-04-15,2024-04-15,20,0.58,3,13,4,80,0
48_2024-04-15,2024-04-15,48,0.6014285714285714,3.8333333333333335,9.666666666666666,3.3333333333333335,66,21
1_2024-04-16,2024-04-16,1,0,4.333333333333333,6,4.333333333333333,81,0
20_2024-04-16,2024-04-16,20,0.264,3,17,4.2,97,0
48_2024-04-16,2024-04-16,48,0.9142857142857144,3.8333333333333335,16.333333333333332,4.333333333333333,54.666666666666664,18
1_2024-04-17,2024-04-17,1,0,4.333333333333333,5,3,76,0
20_2024-04-17,2024-04-17,20,0.364,3.1666666666666665,12,3.8,99,0
